Index,Date,Type Code,Type Name,Type Shortname,Account,Amount,Amount Currency Full,Amount Currency,Account To,Amount To,Amount To Currency Full,Amount To Currency,Balance,Balance Currency Full,Balance Currency,Base Category,Sub Category,Full Category,Description,Agent,Check number,Class
1,1 Feb 2020 00:00:00,1,Opening Balance,TOB,Wisdom (KBank),0,Thai Baht,THB,,0,Unknown,UKN,1011000,Thai Baht,THB,,,,,,,
2,1 Feb 2020 00:00:37,1,Opening Balance,TOB,World Mastercard (KTC),0,Thai Baht,THB,,0,Unknown,UKN,120000,Thai Baht,THB,,,,,,,
3,20 Feb 2020 20:47:40,2,Expense,TEP,Wisdom (KBank),112,Thai Baht,THB,,0,Unknown,UKN,1010888,Thai Baht,THB,Food,Snacks,Food: Snacks,Shopping on 7-11,TrueWallet,,
4,23 Feb 2020 20:47:58,2,Expense,TEP,Wisdom (KBank),57,Thai Baht,THB,,0,Unknown,UKN,1010831,Thai Baht,THB,Food,Groceries,Food: Groceries,Shopping on 7-11,TrueWallet,,
5,25 Feb 2020 18:47:32,2,Expense,TEP,World Mastercard (KTC),2470.2,Thai Baht,THB,,0,Unknown,UKN,117529.8,Thai Baht,THB,Physical Shopping,Hardware,Physical Shopping: Hardware,Raspberry PI 4GB with case Adapter and HDMI cable,Cytron,,
6,27 Feb 2020 15:00:53,1,Opening Balance,TOB,Wallet,1480,Thai Baht,THB,,0,Unknown,UKN,1480,Thai Baht,THB,,,,,,,
7,1 Mar 2020 00:00:18,1,Opening Balance,TOB,Platnet (USD),111.47,US Dollar,USD,,0,Unknown,UKN,111.47,US Dollar,USD,,,,,,,
8,1 Mar 2020 00:00:29,1,Opening Balance,TOB,Saving Account (ME),1000000,Thai Baht,THB,,0,Unknown,UKN,1000000,Thai Baht,THB,,,,,,,
9,1 Mar 2020 00:00:47,1,Opening Balance,TOB,YouTrip (USD),333.73,US Dollar,USD,,0,Unknown,UKN,333.73,US Dollar,USD,,,,,,,
10,1 Mar 2020 09:00:20,1,Opening Balance,TOB,Primary (KBank),30000,Thai Baht,THB,,0,Unknown,UKN,30000,Thai Baht,THB,,,,,,,
11,1 Mar 2020 09:00:31,2,Expense,TEP,Primary (KBank),2390,Thai Baht,THB,,0,Unknown,UKN,27610,Thai Baht,THB,Gift,Birthday,Gift: Birthday,iPhone 11 - Auto-generated transaction,Rungnapa,,
12,1 Mar 2020 10:00:13,2,Expense,TEP,Primary (KBank),1000,Thai Baht,THB,,0,Unknown,UKN,26610,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,For daily spending  Auto-generated transaction,,,Couple
13,1 Mar 2020 10:00:38,2,Expense,TEP,Primary (KBank),2000,Thai Baht,THB,,0,Unknown,UKN,24610,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,For travel together  Auto-generated transaction,,,Couple
14,2 Mar 2020 09:47:47,2,Expense,TEP,World Mastercard (KTC),1557.75,Thai Baht,THB,,0,Unknown,UKN,115972.05,Thai Baht,THB,Physical Shopping,Hardware,Physical Shopping: Hardware,Raspberry PI 2GB with case and Adapter,Cytron,,
15,3 Mar 2020 12:02:31,2,Expense,TEP,World Mastercard (KTC),2266,Thai Baht,THB,,0,Unknown,UKN,113706.05,Thai Baht,THB,Household,Home Supplies,Household: Home Supplies,Air purifier filter on Xiaomi ecosystem,Lazada,,
16,7 Mar 2020 17:32:03,3,Income,TIN,Primary (KBank),300,Thai Baht,THB,,0,Unknown,UKN,24910,Thai Baht,THB,Rent,,Rent,iPad,Natcha,,
17,9 Mar 2020 10:00:33,2,Expense,TEP,Wisdom (KBank),99,Thai Baht,THB,,0,Unknown,UKN,1010732,Thai Baht,THB,Digital Shopping,Services,Digital Shopping: Services,Apple iCloud storage  Auto-generated transaction,Apple,,
18,9 Mar 2020 20:19:49,2,Expense,TEP,Wallet,560,Thai Baht,THB,,0,Unknown,UKN,920,Thai Baht,THB,Food,Dinner,Food: Dinner,,MK,,
19,13 Mar 2020 15:29:23,3,Income,TIN,Primary (KBank),45.2,Thai Baht,THB,,0,Unknown,UKN,24955.2,Thai Baht,THB,Other,,Other,Deposit money from bluepay wallet,BluePay,,
20,13 Mar 2020 15:29:42,3,Income,TIN,Primary (KBank),50,Thai Baht,THB,,0,Unknown,UKN,25005.2,Thai Baht,THB,Reimbursement,,Reimbursement,From Shopee coin,Shopee,,
